created_at,tweet_id,Location,tweet_text,screen_name,name,account_creation_date,urls,Likes,Retweet
2021-03-09 10:26:44,1369233182533558273,jpa,RT @bestoffnike: Nike https://t.co/xH4eDeedXL,evertin97,𝑒𝑣𝑒𝑟𝑡𝑖𝑛🕊( TT NOVO),Sun Jun 28 07:57:46 +0000 2020,[],0,230
2021-03-09 10:26:42,1369233174128132098,Somewhere,"RT @sockjig: Nike been doing nothing but shitting on consumers all 2021, but people still posting daily photos for made up Air Max Month.",jyyz2416,Jyyz2416 R.I.P. KOBE & GIGI🙇🏾‍♂️👼🏾😭,Thu May 17 00:11:00 +0000 2018,[],0,12
2021-03-09 10:26:40,1369233167442411521,HOME,@MrManima @Nike thanks brother!,ogreavesx,oli.,Sun Mar 15 16:17:20 +0000 2009,[],0,0
2021-03-09 10:26:40,1369233166200958979,"Bakersfield, CA",So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/ys0EXtgmQ8,shopatangies,Angie S.,Wed Mar 23 03:42:20 +0000 2011,"[{'url': 'https://t.co/ys0EXtgmQ8', 'expanded_url': 'https://twitter.com/i/web/status/1369233166200958979', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",0,0
2021-03-09 10:26:33,1369233137780355072,,"RT @snkr_twitr: LIVE in 25mins via Offspring 

Nike ‘Popcorn Pack’
AF1 https://t.co/uItn3x27oU
Blazer Mid ‘77 https://t.co/QCtsTEpifG

Nike…",JacobLashinsky,Jacob Lashinsky,Thu May 09 23:21:15 +0000 2013,"[{'url': 'https://t.co/uItn3x27oU', 'expanded_url': 'http://bit.ly/3t79Pyd', 'display_url': 'bit.ly/3t79Pyd', 'indices': [71, 94]}, {'url': 'https://t.co/QCtsTEpifG', 'expanded_url': 'http://bit.ly/3emREAn', 'display_url': 'bit.ly/3emREAn', 'indices': [110, 133]}]",0,3
2021-03-09 10:26:32,1369233131220299778,"Miami, FL","RT @TheSoleWomens: HUGE GIVEAWAY! We're giving away a pair of the Nike Dunk Low Retro White/Black to one lucky winner. 🔥

The rules are sim…",holythug36,Charles,Fri Jul 05 18:40:30 +0000 2013,[],0,598
2021-03-09 10:26:30,1369233124236783617,,RT @rapperhao: Time for converse and nike to bring these back I need them woozi shoes https://t.co/qJrfeUxADC,gigglewoozi,아치☔,Sat Mar 23 02:14:21 +0000 2019,[],0,114
2021-03-09 10:26:30,1369233122877988867,"Texas, USA",So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @Jazziesposhmark #poshmark #fashion… https://t.co/oTVnRkowBs,dubois_lexi,Lexi dubois,Wed Feb 14 20:55:41 +0000 2018,"[{'url': 'https://t.co/oTVnRkowBs', 'expanded_url': 'https://twitter.com/i/web/status/1369233122877988867', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",0,0
2021-03-09 10:26:28,1369233115172966401,,"RT @SOLELINKS: Ad: ALMOST LIVE via Offspring
Nike 'Popcorn' Pack
Blazer:https://t.co/vB41d8Zwk2
AF1:https://t.co/ttzwDDGODQ https://t.co/XK…",JacobLashinsky,Jacob Lashinsky,Thu May 09 23:21:15 +0000 2013,"[{'url': 'https://t.co/vB41d8Zwk2', 'expanded_url': 'https://tidd.ly/38kGkkg', 'display_url': 'tidd.ly/38kGkkg', 'indices': [72, 95]}, {'url': 'https://t.co/ttzwDDGODQ', 'expanded_url': 'https://tidd.ly/38nHMma', 'display_url': 'tidd.ly/38nHMma', 'indices': [100, 123]}]",0,2
2021-03-09 10:26:26,1369233107509985281,,"RT @snkr_twitr: ALMOST LIVE via Offspring 

Nike ‘Popcorn Pack’
AF1 https://t.co/uItn3x27oU
Blazer Mid ‘77 https://t.co/QCtsTEpifG

Nike Ai…",JacobLashinsky,Jacob Lashinsky,Thu May 09 23:21:15 +0000 2013,"[{'url': 'https://t.co/uItn3x27oU', 'expanded_url': 'http://bit.ly/3t79Pyd', 'display_url': 'bit.ly/3t79Pyd', 'indices': [68, 91]}, {'url': 'https://t.co/QCtsTEpifG', 'expanded_url': 'http://bit.ly/3emREAn', 'display_url': 'bit.ly/3emREAn', 'indices': [107, 130]}]",0,5
2021-03-09 10:26:25,1369233104393494534,"In bed, out-sleeping her cats","RT @Nike: Black women are rarely recognized for the hard work they put in. It’s not just magic, they are the real thing. 

Join us in celeb…",w00tsupMo,Mo Montgomery,Sun Nov 29 04:44:24 +0000 2020,[],0,4495
2021-03-09 10:26:25,1369233104091701248,World Domination Hq Nairoberry,RT @TheAthleticUK: Nike's loss is New Balance's gain with confirmation #AFC star Bukayo Saka has become the latest star to switch boot prov…,madnjomz,Elchubbinho,Tue Aug 04 14:58:42 +0000 2009,[],0,10
2021-03-09 10:26:20,1369233083061374977,SN14 6RZ,"Matthew Friend, EVP &amp; Chief Financial Officer, @Nike:

""RFID is going to drive improved inventory holding costs and… https://t.co/8KYpSPoQ59",MiTEQSolutions,MiTEQ,Fri Jul 24 08:50:26 +0000 2020,"[{'url': 'https://t.co/8KYpSPoQ59', 'expanded_url': 'https://twitter.com/i/web/status/1369233083061374977', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]",0,0
2021-03-09 10:26:19,1369233076945965059,she/her ,heyy @Nike 🥰 https://t.co/FtR6a9OxeO,yunasprint,🦭,Sun Jan 10 12:01:41 +0000 2021,"[{'url': 'https://t.co/FtR6a9OxeO', 'expanded_url': 'https://twitter.com/yunarealcute/status/1369231582951743490', 'display_url': 'twitter.com/yunarealcute/s…', 'indices': [13, 36]}]",2,0
2021-03-09 10:26:18,1369233075528478720,Jakarta Capital Region,"@brown_eye20 its a gift, but you can check nike website",keraktelorwin,Win :) 🏉,Thu May 28 04:47:55 +0000 2020,[],0,0
2021-03-09 10:26:05,1369233019777802242,Somewhere,"RT @thesolerestocks: All sizes of the Nike Air Force 1 Popcorn are still in stock...HURRY! ⚡️

Link &gt; https://t.co/QbxV29rciu

*Keep refres…",jyyz2416,Jyyz2416 R.I.P. KOBE & GIGI🙇🏾‍♂️👼🏾😭,Thu May 17 00:11:00 +0000 2018,"[{'url': 'https://t.co/QbxV29rciu', 'expanded_url': 'http://solesupplier.co/38pSl8l', 'display_url': 'solesupplier.co/38pSl8l', 'indices': [105, 128]}]",0,3
2021-03-09 10:26:02,1369233008339922946,Junín,RT @Shtreetwear: Cactus Plant Flea Market x Nike Vapormax (2019) https://t.co/q84G3D3bRf,santifossas,nonose,Mon Jan 23 18:09:58 +0000 2017,[],0,10
2021-03-09 10:26:01,1369233003977666562,"New South Wales, Australia",@clarke3110 Excuse my French but fuck he was great. Used to play ball in his signature shoe back in the day. Nike n… https://t.co/UIWETy5TBB,red_eyed_goat,Ash Rogers,Sun Dec 04 05:59:48 +0000 2011,"[{'url': 'https://t.co/UIWETy5TBB', 'expanded_url': 'https://twitter.com/i/web/status/1369233003977666562', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",5,0
2021-03-09 10:25:54,1369232972298280961,,"RT @SOLELINKS: Ad: LIVE Antonioli
Nike Air Force 1 '07 'Popcorn'
=&gt; https://t.co/vV5Wc6kCQF https://t.co/c6E8VqY40e",JacobLashinsky,Jacob Lashinsky,Thu May 09 23:21:15 +0000 2013,"[{'url': 'https://t.co/vV5Wc6kCQF', 'expanded_url': 'https://bit.ly/38mt9zB', 'display_url': 'bit.ly/38mt9zB', 'indices': [71, 94]}]",0,1
2021-03-09 10:25:44,1369232932586491904,"Kolkata, India","If Nike’s owner got bankrupt, his new store would be nai-ki",Givemeajobples,Givemeajobpls,Mon Mar 01 12:51:26 +0000 2021,[],1,0
