Date,Open,High,Low,Close,Adj Close,Volume
2018-03-15,535.2000122070312,539.2000122070312,528.25,529.6500244140625,528.9930419921875,3932830
2018-03-16,530.9000244140625,532.9000244140625,520.5,522.5999755859375,521.9517822265625,12146623
2018-03-19,522.5999755859375,526.0,517.0499877929688,519.4500122070312,518.8057250976562,4656613
2018-03-20,509.0,525.0,509.0,521.0999755859375,520.45361328125,5398111
2018-03-21,523.0,532.5,522.5,526.2999877929688,525.6471557617188,5518826
2018-03-22,522.5999755859375,525.9000244140625,516.75,518.2000122070312,517.5572509765625,7194256
2018-03-23,509.5,510.25,496.0,499.5,498.88043212890625,29385110
2018-03-26,499.0,509.29998779296875,495.20001220703125,507.29998779296875,506.6707458496094,9498614
2018-03-27,512.2999877929688,522.5499877929688,509.04998779296875,512.2000122070312,511.564697265625,6423140
2018-03-28,512.9000244140625,512.9000244140625,501.6000061035156,510.5,509.8667907714844,10980960
2018-04-02,506.75,508.5,492.20001220703125,499.04998779296875,498.43096923828125,7120498
2018-04-03,494.0,506.0,493.70001220703125,501.54998779296875,500.9278869628906,6053789
2018-04-04,504.5,504.5,490.25,492.25,491.6394348144531,6047813
2018-04-05,498.3999938964844,504.6499938964844,495.20001220703125,503.1000061035156,502.4759826660156,6682587
2018-04-06,502.95001220703125,502.95001220703125,495.20001220703125,500.20001220703125,499.57958984375,3812133
2018-04-09,502.20001220703125,522.0,501.20001220703125,519.2999877929688,518.6558837890625,8708770
2018-04-10,523.0,549.7000122070312,521.4000244140625,546.1500244140625,545.4725952148438,21689156
2018-04-11,550.0999755859375,551.0,534.0,539.7999877929688,539.1304321289062,9261807
2018-04-12,537.2999877929688,550.0,534.8499755859375,548.75,548.0693359375,8021652
2018-04-13,550.0,555.5499877929688,535.75,542.5499877929688,541.8770141601562,8788919
2018-04-16,541.5,543.7999877929688,530.3499755859375,542.4000244140625,541.7272338867188,6418203
2018-04-17,544.9500122070312,544.9500122070312,530.25,532.4000244140625,531.7396240234375,5541004
2018-04-18,535.5,535.5,516.5,518.25,517.607177734375,7131174
2018-04-19,521.0,521.4500122070312,509.1000061035156,512.9000244140625,512.2638549804688,10559623
2018-04-20,513.5,513.8499755859375,503.0,505.70001220703125,505.07275390625,4437940
2018-04-23,508.3999938964844,511.20001220703125,500.0,506.20001220703125,505.5721435546875,4766412
2018-04-24,506.0,514.75,503.3500061035156,504.8500061035156,504.22381591796875,4564259
2018-04-25,506.0,506.0,496.29998779296875,498.3999938964844,497.78179931640625,4608455
2018-04-26,496.75,501.04998779296875,483.29998779296875,493.75,493.1375732421875,14919977
2018-04-27,481.25,543.0999755859375,481.25,539.2000122070312,538.5311889648438,58859461
2018-04-30,535.7999877929688,536.0999755859375,513.4000244140625,517.2999877929688,516.6583251953125,18357008
2018-05-02,518.5,527.9500122070312,515.4000244140625,523.75,523.100341796875,25195767
2018-05-03,522.0,538.7999877929688,522.0,533.4000244140625,532.7384033203125,12001916
2018-05-04,533.9000244140625,533.9000244140625,519.0499877929688,520.2999877929688,519.6546020507812,5929870
2018-05-07,523.75,537.9000244140625,523.0,536.0999755859375,535.4349975585938,6792091
2018-05-08,536.6500244140625,547.5,533.4500122070312,542.25,541.577392578125,12028184
2018-05-09,543.0999755859375,549.6500244140625,537.0499877929688,548.5,547.8196411132812,7556830
2018-05-10,548.5,554.0,542.9500122070312,547.6500244140625,546.9707641601562,11415139
2018-05-11,548.5999755859375,556.5,545.5,553.2999877929688,552.6137084960938,4960854
2018-05-14,551.2000122070312,558.9000244140625,547.5499877929688,551.9000244140625,551.2154541015625,4999526
2018-05-15,548.0,563.5,547.3499755859375,549.7000122070312,549.0181884765625,6752759
2018-05-16,545.0,552.75,541.0499877929688,550.0,549.3178100585938,9929095
2018-05-17,550.0,553.0,536.5,539.4500122070312,538.7808837890625,8551787
2018-05-18,536.7999877929688,540.7000122070312,528.5,532.9000244140625,532.239013671875,7343619
2018-05-21,535.0,537.7999877929688,521.8499755859375,526.8499755859375,526.1964721679688,4258800
2018-05-22,528.4000244140625,533.5,520.6500244140625,523.2999877929688,522.65087890625,4711540
2018-05-23,522.0,528.2000122070312,519.4000244140625,520.25,519.6046752929688,4426060
2018-05-24,521.7000122070312,537.0,521.0999755859375,534.4500122070312,533.787109375,5188026
2018-05-25,535.5999755859375,543.5,532.5,538.5,537.83203125,4588810
2018-05-28,541.7000122070312,548.0,540.9500122070312,546.1500244140625,545.4725952148438,5611936
2018-05-29,547.0,549.9000244140625,543.2000122070312,547.75,547.070556640625,8015443
2018-05-30,543.75,544.7000122070312,535.0499877929688,541.6500244140625,540.9781494140625,5919369
2018-05-31,543.0,551.7999877929688,532.25,545.9000244140625,545.222900390625,15652651
2018-06-01,543.0,544.2999877929688,532.8499755859375,536.6500244140625,535.984375,4061137
2018-06-04,539.5499877929688,541.9500122070312,531.25,537.0499877929688,536.3838500976562,4291186
2018-06-05,534.6500244140625,536.0,524.25,530.9000244140625,530.2415161132812,5088506
2018-06-06,530.0,533.7999877929688,526.5999755859375,531.4000244140625,530.7409057617188,5281259
2018-06-07,533.7999877929688,550.0,532.1500244140625,542.4000244140625,541.7272338867188,6932191
2018-06-08,541.0499877929688,541.9000244140625,535.4500122070312,537.4000244140625,536.7334594726562,4627913
2018-06-11,539.7999877929688,542.5999755859375,530.3499755859375,539.9500122070312,539.2802734375,4095873
2018-06-12,543.5,544.5,535.7999877929688,537.1500244140625,536.4837646484375,3320721
2018-06-13,539.7999877929688,551.7999877929688,536.8499755859375,540.6500244140625,539.9794311523438,5924906
2018-06-14,539.7999877929688,539.7999877929688,531.0,532.0,531.3401489257812,3736633
2018-06-15,527.7999877929688,534.6500244140625,516.0999755859375,528.75,528.0941772460938,7854953
2018-06-18,530.25,531.0,521.4500122070312,522.5499877929688,521.90185546875,3711213
2018-06-19,522.1500244140625,524.4000244140625,514.4000244140625,517.2000122070312,516.5584716796875,6483110
2018-06-20,520.75,527.4000244140625,517.1500244140625,519.0999755859375,518.4561157226562,4555002
2018-06-21,521.25,522.0,511.1000061035156,513.0499877929688,512.4136352539062,4856050
2018-06-22,513.0,527.7999877929688,510.54998779296875,525.6500244140625,524.998046875,5932446
2018-06-25,520.3499755859375,523.3499755859375,513.0999755859375,515.2000122070312,514.5609741210938,4882240
2018-06-26,516.5,518.7000122070312,512.0499877929688,514.2000122070312,513.5621948242188,4505122
2018-06-27,516.0,516.0,501.6000061035156,507.8500061035156,507.2200927734375,5659070
2018-06-28,508.0,513.5,500.79998779296875,504.6000061035156,503.97412109375,4854274
2018-06-29,505.79998779296875,514.5,498.75,510.79998779296875,510.1664123535156,7747444
2018-07-02,510.75,513.7999877929688,503.0,512.25,511.6146240234375,6799910
2018-07-03,512.9000244140625,519.9000244140625,509.25,511.54998779296875,510.91546630859375,6658467
2018-07-04,511.95001220703125,516.25,507.6499938964844,514.75,514.1115112304688,3893493
2018-07-05,514.0,517.8499755859375,509.0,511.0,510.3661804199219,2692462
2018-07-06,513.0,516.9000244140625,509.5,513.7000122070312,513.0628051757812,2706424
2018-07-09,515.0999755859375,529.2999877929688,515.0999755859375,525.25,524.5985107421875,6295104
